node_left,connection,node_right,reference,notes
D. Max Conway,Partner,Hydra Group,https://www.linkedin.com/in/d-max-conway/,.
CIC Polymetallic Nodule Exploration Project,Capital Partner,Cook Islands Nodule Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,"DYNE Capital, LLC
A merchant bank formed by a number of family office and financial services professionals to allocate private capital to Australia, Canada, New Zealand, the
United Kingdom, and the United States on “Clean Path” initiatives encouraging stronger ties between member countries and reduce security concerns of essential assets for our governments."
CIC Limited (CIC),runs,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Greg Stemm,CIC Consortium,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Tom Albanese,CIC Consortium,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Mark Justh,CIC Consortium,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Greg Stemm,of,SeaRock Resources LLC,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Greg Stemm,Co-founder,Odyssey Marine Exploration,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Greg Stemm,past President,International Marine Minerals Society,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Tom Albanese,of,"20,000 Leagues, LLC",https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Tom Albanese,Former CEO,Rio Tinto,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Tom Albanese,Former CEO,Vedanta,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Mark Justh,of,"Cobalt Capital Partners, LLC",https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Mark Justh,Former Managing Director,"J.P. Morgan, Hong Kong",https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
"Odyssey Marine Exploration, Inc. (",Marine Operating Partners,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Royal Boskalis Westminster N.V. ,Marine Operating Partners,CIC Polymetallic Nodule Exploration Project,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Greg Stemm,member,CIC Limited,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
Tom Albanese,member,CIC Limited,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
